timestamp,user_id,user_segment,product_category,promo_type,channel,price,quantity,conversion,inventory_remaining,fulfillment_status,revenue,date
2024-07-04,9347,New,Haircare,BOGO,Email,79.79,3,1,34,On-time,239.37,2024-07-04
2024-07-01,6592,Returning,Skincare,BOGO,SMS,98.83,3,0,12,On-time,0.0,2024-07-01
2024-07-08,2724,New,Makeup,BOGO,Social Media,106.97,3,1,15,On-time,320.90999999999997,2024-07-08
2024-07-05,4343,New,Skincare,BOGO,Social Media,68.56,3,1,66,Delayed,205.68,2024-07-05
2024-07-02,1886,Returning,Haircare,Launch Bundle,Paid Search,66.48,2,1,94,On-time,132.96,2024-07-02
2024-07-04,1721,New,Makeup,Launch Bundle,Paid Search,80.27,2,0,54,Out of Stock,0.0,2024-07-04
2024-07-07,8678,New,Skincare,BOGO,SMS,91.57,2,1,64,On-time,183.14,2024-07-07
2024-06-30,4357,New,Fragrance,25% Off,Paid Search,52.4,3,1,34,Delayed,157.2,2024-06-30
2024-07-04,1870,New,Fragrance,25% Off,SMS,67.99,2,0,15,On-time,0.0,2024-07-04
2024-07-08,7751,New,Fragrance,25% Off,Social Media,76.44,3,0,0,On-time,0.0,2024-07-08
2024-07-08,1497,Returning,Skincare,BOGO,Paid Search,118.78,3,1,49,Delayed,356.34000000000003,2024-07-08
2024-07-05,2756,New,Skincare,Launch Bundle,SMS,76.71,3,0,13,On-time,0.0,2024-07-05
2024-07-02,2117,New,Haircare,Launch Bundle,Email,38.54,1,0,61,Delayed,0.0,2024-07-02
2024-07-01,3828,New,Makeup,Launch Bundle,Paid Search,76.74,2,1,6,On-time,153.48,2024-07-01
2024-07-05,2647,Returning,Makeup,Launch Bundle,SMS,101.05,2,1,22,On-time,202.1,2024-07-05
2024-07-05,7992,Returning,Makeup,25% Off,SMS,105.03,1,1,98,On-time,105.03,2024-07-05
2024-06-30,7771,New,Makeup,25% Off,Email,99.03,1,1,62,On-time,99.03,2024-06-30
2024-07-03,1142,Returning,Skincare,Launch Bundle,Social Media,108.26,1,1,28,On-time,108.26,2024-07-03
2024-07-02,3761,New,Skincare,BOGO,Email,50.15,1,1,21,Out of Stock,50.15,2024-07-02
2024-06-29,4435,New,Haircare,Launch Bundle,SMS,68.29,3,1,79,Delayed,204.87,2024-06-29
2024-07-05,7622,New,Makeup,Launch Bundle,Email,96.86,2,1,92,On-time,193.72,2024-07-05
2024-07-03,8069,New,Skincare,BOGO,Email,42.77,2,1,5,On-time,85.54,2024-07-03
2024-06-29,5512,New,Skincare,Launch Bundle,SMS,54.02,2,1,81,On-time,108.04,2024-06-29
2024-07-02,2848,Returning,Skincare,25% Off,Social Media,102.27,3,1,28,On-time,306.81,2024-07-02
2024-06-28,3696,New,Skincare,BOGO,Email,95.86,2,0,88,On-time,0.0,2024-06-28
2024-07-07,2717,Returning,Makeup,BOGO,Email,116.98,1,1,1,On-time,116.98,2024-07-07
2024-07-03,4072,New,Makeup,Launch Bundle,Paid Search,119.58,2,1,63,On-time,239.16,2024-07-03
2024-07-06,3786,New,Skincare,25% Off,Paid Search,40.28,2,1,95,Delayed,80.56,2024-07-06
2024-06-28,4791,Returning,Fragrance,25% Off,SMS,109.55,3,0,35,On-time,0.0,2024-06-28
2024-07-08,4871,Returning,Haircare,25% Off,SMS,24.92,1,1,95,On-time,24.92,2024-07-08
2024-07-08,2806,New,Makeup,Launch Bundle,SMS,89.53,1,0,19,On-time,0.0,2024-07-08
2024-07-07,2504,Returning,Makeup,Launch Bundle,Paid Search,38.11,1,1,54,On-time,38.11,2024-07-07
2024-06-30,4308,New,Fragrance,25% Off,SMS,46.53,2,1,36,On-time,93.06,2024-06-30
2024-07-04,8117,New,Makeup,Launch Bundle,Email,114.36,1,1,96,On-time,114.36,2024-07-04
2024-07-01,6048,New,Fragrance,25% Off,Email,42.63,1,1,51,On-time,42.63,2024-07-01
2024-07-06,9263,New,Fragrance,Launch Bundle,Social Media,85.68,2,1,68,Delayed,171.36,2024-07-06
2024-06-30,2690,New,Skincare,BOGO,SMS,33.7,3,0,69,On-time,0.0,2024-06-30
2024-07-02,4303,New,Makeup,BOGO,Email,24.81,2,1,21,Delayed,49.62,2024-07-02
2024-06-30,4113,Returning,Haircare,Launch Bundle,Email,50.63,3,1,84,On-time,151.89000000000001,2024-06-30
2024-07-04,8850,New,Fragrance,Launch Bundle,Social Media,80.54,3,1,82,On-time,241.62,2024-07-04
2024-07-02,7416,Returning,Haircare,25% Off,Email,41.03,1,0,14,Delayed,0.0,2024-07-02
2024-07-06,2504,New,Skincare,BOGO,Social Media,46.52,1,1,97,On-time,46.52,2024-07-06
2024-07-04,9924,Returning,Makeup,25% Off,Social Media,89.42,2,1,46,On-time,178.84,2024-07-04
2024-06-29,4924,Returning,Skincare,Launch Bundle,Paid Search,25.79,3,0,70,On-time,0.0,2024-06-29
2024-07-01,9615,New,Skincare,25% Off,Email,61.93,2,1,80,Delayed,123.86,2024-07-01
2024-07-06,5485,New,Haircare,25% Off,Paid Search,113.88,1,0,68,On-time,0.0,2024-07-06
2024-06-29,9100,Returning,Haircare,Launch Bundle,Email,56.68,3,0,51,On-time,0.0,2024-06-29
2024-07-07,9684,Returning,Fragrance,BOGO,Paid Search,60.59,1,1,38,On-time,60.59,2024-07-07
2024-07-06,1191,New,Makeup,25% Off,Social Media,92.51,1,1,1,On-time,92.51,2024-07-06
2024-07-07,9690,New,Skincare,Launch Bundle,Social Media,96.8,1,1,90,Delayed,96.8,2024-07-07
2024-07-02,5917,Returning,Fragrance,25% Off,Social Media,95.81,3,1,44,Delayed,287.43,2024-07-02
2024-06-29,6831,New,Fragrance,Launch Bundle,Social Media,119.78,3,1,23,On-time,359.34000000000003,2024-06-29
2024-07-01,5322,Returning,Skincare,Launch Bundle,Email,22.5,1,1,60,On-time,22.5,2024-07-01
2024-07-04,7999,New,Skincare,Launch Bundle,SMS,118.14,3,1,91,Delayed,354.42,2024-07-04
2024-07-05,8282,New,Fragrance,BOGO,Email,114.77,1,1,64,On-time,114.77,2024-07-05
2024-06-30,2874,Returning,Skincare,BOGO,Paid Search,104.47,1,1,52,Delayed,104.47,2024-06-30
2024-06-28,5763,Returning,Skincare,Launch Bundle,Email,62.68,1,1,20,On-time,62.68,2024-06-28
2024-07-01,9464,New,Haircare,BOGO,Email,106.44,3,1,91,On-time,319.32,2024-07-01
2024-06-29,2051,Returning,Makeup,25% Off,Paid Search,38.19,2,0,66,Delayed,0.0,2024-06-29
2024-07-05,8538,Returning,Fragrance,BOGO,Social Media,98.12,2,0,93,On-time,0.0,2024-07-05
2024-07-01,8411,Returning,Skincare,BOGO,Paid Search,34.45,3,1,0,On-time,103.35000000000001,2024-07-01
2024-06-29,7320,New,Fragrance,25% Off,Paid Search,100.61,3,0,58,On-time,0.0,2024-06-29
2024-07-03,3105,Returning,Makeup,25% Off,SMS,79.53,1,0,46,On-time,0.0,2024-07-03
2024-07-03,1307,Returning,Fragrance,25% Off,SMS,25.29,1,1,17,Delayed,25.29,2024-07-03
2024-07-07,8737,Returning,Fragrance,Launch Bundle,Social Media,109.01,2,0,32,On-time,0.0,2024-07-07
2024-07-01,4359,Returning,Fragrance,25% Off,Paid Search,75.69,1,1,14,On-time,75.69,2024-07-01
2024-07-03,4176,New,Haircare,25% Off,Paid Search,83.91,2,1,23,Out of Stock,167.82,2024-07-03
2024-06-29,2251,Returning,Makeup,25% Off,Paid Search,44.77,2,0,35,Out of Stock,0.0,2024-06-29
2024-07-07,6366,Returning,Makeup,Launch Bundle,Email,106.52,3,0,59,Delayed,0.0,2024-07-07
2024-06-29,2517,New,Fragrance,BOGO,SMS,72.25,3,0,33,On-time,0.0,2024-06-29
2024-07-07,7226,Returning,Fragrance,Launch Bundle,SMS,59.22,3,1,89,On-time,177.66,2024-07-07
2024-07-01,6305,New,Makeup,BOGO,Social Media,71.1,2,1,50,On-time,142.2,2024-07-01
2024-07-05,6869,Returning,Skincare,25% Off,SMS,88.85,3,1,39,On-time,266.54999999999995,2024-07-05
2024-07-04,9039,New,Haircare,Launch Bundle,SMS,87.98,2,1,21,On-time,175.96,2024-07-04
2024-07-06,5891,Returning,Makeup,Launch Bundle,Social Media,52.55,3,1,15,On-time,157.64999999999998,2024-07-06
2024-07-05,5992,Returning,Fragrance,BOGO,Paid Search,55.45,2,1,41,On-time,110.9,2024-07-05
2024-07-02,2961,Returning,Skincare,Launch Bundle,Email,74.04,1,0,15,Delayed,0.0,2024-07-02
2024-06-29,3863,Returning,Skincare,Launch Bundle,Social Media,112.06,1,1,4,On-time,112.06,2024-06-29
